id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
1Qrg8KqiBpW07V7PNxwwwL,1333537.000000091,18313.0,0.644,0.735,-5747.0,0.039,0.052,0.144,0.418,172,9855.0,169.0
4Dvkj6JhhA12EX05fT7y2e,589607.0,6634.0,0.52,0.731,-5338.0,0.056,0.342,0.001,0.662,185,43888.0,410.0
0V3wPSX9ygBnCm8psDIegu,1292008.0,18286.0,0.637,0.643,-6571.0,0.052,0.13,0.0,0.533,183,21942.0,258.0
2dHHgzDwk4BJdRwy9uXhTO,1321502.000000091,18124.0,0.715,0.62,-6005.0,0.048,0.417,0.0,0.172,175,125254.16666667,1636.0
7KA4W4McWYRpgf0fWsJZWB,8835.0,115.0,0.558,0.559,-9222.0,0.096,0.371,0.0,0.62,7,0.0,0.0
1daDRI9ahBonbWD8YcxOIB,1923468.0,21050.0,0.672,0.642,-4035.0,0.031,0.098,0.0,0.494,17,21027.0,174.0
5XeFesFbtLpXzIVDNQP22n,660652.0,7393.0,0.464,0.417,-9345.0,0.026,0.136,0.022,0.479,183,44532.0,501.0
6AQbmUe0Qwf5PZnt4HmTXv,646820.99999999,7828.0,0.696,0.809,-8254.0,0.05,0.252,0.0,0.857,135,0.0,0.0
1BxfuPKGuaTgP7aM0Bbdwr,1999908.0,21817.0,0.552,0.702,-5707.0,0.157,0.117,0.0,0.564,35,35370.0,222.0
4uUG5RXrOk84mYEfFvj3cK,7475.0,475.0,0.561,0.965,-3673.0,0.034,0.004,0.0,0.304,185,1475.0,124.0
78Sw5GDo6AlGwTwanjXbGh,1293870.0,18281.0,0.574,0.469,-8209.0,0.025,0.534,0.0,0.288,179,8032.0,49.0
7jtQIBanIiJOMS6RyCx6jZ,522039.0,5241.0,0.442,0.538,-8.55,0.045,0.717,0.0,0.139,179,0.0,0.0
5odlY52u43F5BjByhxg7wg,1303786.0,18395.0,0.515,0.593,-4801.0,0.032,0.653,0.162,0.153,183,6871.0,62.0
1Y3LN4zO1Edc2EluIoSPJN,1322517.000000091,18143.0,0.551,0.55,-5339.0,0.029,0.777,0.0,0.342,178,30825.0,182.0
3AJwUDP919kvQ9QcozQPxg,404062.0,3943.0,0.429,0.661,-7227.0,0.028,0.002,0.0,0.285,140,0.0,0.0
1zsPaEkglFvxjAhrM8yhpr,713672.0,9395.0,0.901,0.589,-6713.0,0.289,0.003,0.0,0.399,183,31705.0,560.0
0VjIjW4GlUZAMYd2vXMi3b,224719.0,2035.0,0.514,0.73,-5934.0,0.06,0.001,0.0,0.334,185,44785.0,281.0
1mea3bSkSGXuIRvnydlB5b,620549.0,6925.0,0.486,0.617,-7115.0,0.029,0.095,0.0,0.417,182,29048.0,360.0
561jH07mF1jHuk7KlaeF0s,1299000.0,18338.0,0.637,0.678,-3798.0,0.266,0.209,0.0,0.254,183,37230.0,633.0
4R2kfaDFhslZEMJqAFNpdd,1912232.0,21896.0,0.613,0.581,-8588.0,0.042,0.537,0.0,0.551,90,6611.0,92.0
2QjOHCTQ1Jl3zawyYOpxh6,1911407.0,21593.0,0.612,0.807,-2.81,0.034,0.05,0.018,0.398,177,0.0,0.0
2HbKqm4o0w5wEeEFXm2sD4,1907333.0,21589.0,0.716,0.531,-7355.0,0.122,0.07,0.0,0.344,46,292.0,2.0
2eAvDnpXP5W0cVtiI0PUxV,432901.0,4028.0,0.609,0.692,-2958.0,0.026,0.016,0.0,0.454,170,0.0,0.0
2tTmW7RDtMQtBk7m2rYeSw,69196.0,1644.0,0.621,0.782,-5548.0,0.044,0.013,0.033,0.55,185,13790.0,360.0
6Sq7ltF9Qa7SNFBsV5Cogx,281122.000000063,5100.0,0.911,0.712,-5105.0,0.082,0.09,0.0,0.425,185,110505.666666687,1533.0
4iZ4pt7kvcaH6Yo8UoZ4s2,1333537.000000091,18313.0,0.559,0.551,-7231.0,0.132,0.141,0.0,0.392,162,9855.0,169.0
54ipXppHLA8U4yqpOFTUhr,1422013.0,19406.0,0.772,0.75,-3.67,0.046,0.02,0.0,0.587,185,49613.0,515.0
7KokYm8cMIXCsGVmUvKtqf,1292008.0,18286.0,0.642,0.62,-7091.0,0.067,0.073,0.0,0.097,57,21942.0,258.0
5Odq8ohlgIbQKMZivbWkEo,1310266.0,18475.0,0.881,0.592,-4898.0,0.032,0.619,0.0,0.719,174,84115.0,1133.0
7j4OmvkjRz0PrjFADlHfQx,554588.0,6592.0,0.603,0.67,-3882.0,0.025,0.004,0.0,0.446,36,1015.0,25.0
